STATE,COUNTY,B19013_001E_2018,B01001_001E_2018,B25058_001E_2018,B19013_001E_2019,B01001_001E_2019,B25058_001E_2019,B19013_001E_2021,B01001_001E_2021,B25058_001E_2021,B19013_001E_2022,B01001_001E_2022,B25058_001E_2022
06,097,81395,499942,1528,87828,494336,1648,94295.0,485887.0,1773.0,96830.0,482650.0,1775.0
06,099,60321,549815,983,63037,550660,1046,73982.0,552999.0,1136.0,75886.0,551275.0,1220.0
06,101,59121,96807,842,62777,96971,972,64251.0,99063.0,1020.0,65018.0,98503.0,1168.0
06,107,48817,465861,740,57692,466195,837,58209.0,477054.0,845.0,64722.0,477544.0,930.0
06,111,84566,850967,1657,92236,846006,1759,96454.0,839784.0,1910.0,102569.0,832605.0,2033.0
06,113,68670,220408,1185,71417,220500,1318,78146.0,216986.0,1456.0,83875.0,222115.0,1613.0
06,115,46574,78041,767,58765,78668,839,63303.0,83421.0,854.0,65052.0,84310.0,915.0
08,001,70743,511868,1247,75804,517421,1250,81258.0,522140.0,1424.0,91367.0,527575.0,1505.0
08,005,76768,651215,1275,82710,656590,1365,84386.0,654900.0,1456.0,93784.0,655808.0,1642.0
08,013,83755,326078,1418,88535,326196,1512,90168.0,329543.0,1667.0,96079.0,327468.0,1699.0
08,014,95800,69267,1516,111400,70465,1723,107638.0,75325.0,1818.0,115833.0,76121.0,1846.0
08,031,68377,716492,1237,75646,727211,1352,81630.0,711463.0,1449.0,88213.0,713252.0,1623.0
08,035,119615,342776,1603,122867,351154,1637,129299.0,368990.0,1724.0,140003.0,375988.0,1885.0
08,041,68119,713856,1065,72830,720403,1125,79427.0,737867.0,1301.0,82389.0,740567.0,1404.0
08,059,85890,580233,1288,90040,582881,1361,94549.0,579581.0,1480.0,102731.0,576143.0,1630.0
08,069,71091,350518,1254,75186,356899,1259,78109.0,362533.0,1343.0,88403.0,366778.0,1471.0
08,077,49848,153207,762,60500,154210,868,64055.0,157335.0,830.0,70711.0,158636.0,1094.0
08,101,48468,167529,642,51276,168424,697,56689.0,169622.0,789.0,58723.0,169544.0,841.0
08,123,75938,314305,949,78615,324492,1081,85290.0,340036.0,1186.0,91565.0,350176.0,1207.0
09,001,91079,943823,1238,97053,943332,1321,100810.0,959768.0,1440.0,,,
09,003,73151,892697,920,75381,891720,954,80069.0,896854.0,1061.0,,,
09,005,76043,181111,858,81195,180333,897,84978.0,185000.0,931.0,,,
09,007,89131,162682,1024,76518,162436,1021,94887.0,164759.0,1122.0,,,
09,009,67845,857620,968,69751,854757,972,75295.0,863700.0,1053.0,,,
09,011,67197,266784,942,75633,265206,980,78828.0,268805.0,1030.0,,,
09,013,91646,150921,1043,91028,150721,987,82778.0,150293.0,1083.0,,,
09,015,65765,117027,813,62106,116782,833,72068.0,116418.0,807.0,,,
10,001,54419,178550,826,58001,180786,953,64308.0,184149.0,1015.0,72675.0,186946.0,1063.0
10,003,69479,559335,995,76328,558753,985,73854.0,571708.0,1097.0,86020.0,575494.0,1161.0
10,005,60277,229286,820,65155,234225,779,70556.0,247527.0,904.0,81792.0,255956.0,897.0
11,001,85203,702455,1421,92266,705749,1514,90088.0,670050.0,1586.0,101027.0,671803.0,1768.0
12,001,51241,269956,851,49534,269043,838,56445.0,279238.0,957.0,58354.0,284030.0,1105.0
12,005,52107,185287,881,59450,174705,1007,60557.0,179168.0,1072.0,66245.0,185134.0,1102.0
12,009,57888,596849,905,57305,601942,985,65333.0,616628.0,1076.0,75320.0,630693.0,1273.0
12,011,57278,1951260,1234,61502,1952778,1321,65747.0,1930983.0,1379.0,70978.0,1947026.0,1613.0
12,015,52927,184998,883,54652,188910,900,59285.0,194843.0,1039.0,64860.0,202661.0,1118.0
12,017,39964,147929,732,50751,149657,739,47197.0,158083.0,843.0,51532.0,162529.0,798.0
12,019,61825,216072,921,76687,219252,935,76679.0,222361.0,1144.0,85594.0,226589.0,1366.0
12,021,69867,378488,1137,76025,384902,1246,74215.0,385980.0,1405.0,80815.0,397994.0,1575.0
12,023,48848,70503,682,47094,71686,611,54077.0,70385.0,625.0,53985.0,71908.0,753.0
12,031,55832,950181,912,58415,957755,948,59980.0,999935.0,1047.0,70533.0,1016536.0,1237.0
12,033,51050,315534,742,53136,318316,800,54228.0,322390.0,873.0,61924.0,324878.0,1013.0
12,035,58963,112067,1025,60204,115081,1194,62618.0,120932.0,1181.0,71211.0,126705.0,1380.0
12,053,45977,190865,807,51031,193920,800,56868.0,200638.0,876.0,61462.0,206896.0,986.0
12,055,39796,105424,642,48698,106221,644,48564.0,103296.0,714.0,52799.0,105618.0,801.0
12,057,58480,1436888,1021,61154,1471968,1046,65905.0,1478194.0,1198.0,74308.0,1513301.0,1378.0
12,061,57508,157413,824,59782,159923,877,58972.0,163662.0,985.0,67407.0,167352.0,1150.0
12,069,52096,356495,845,57588,367118,929,64795.0,395804.0,1197.0,67559.0,410139.0,1196.0
12,071,56129,754610,1061,62240,770577,1075,66256.0,787976.0,1180.0,71072.0,822453.0,1441.0
12,073,50682,292502,781,54929,293582,808,58118.0,292817.0,936.0,61297.0,297369.0,961.0
12,081,59956,394855,1019,64499,403253,1096,68172.0,412703.0,1190.0,72108.0,429125.0,1335.0
12,083,44576,359977,713,49576,365579,804,55161.0,385915.0,860.0,54190.0,396415.0,911.0
12,085,59978,160912,1008,70842,161000,1043,64625.0,159942.0,1122.0,80024.0,162006.0,1480.0
12,086,52205,2761581,1211,55171,2716940,1284,59044.0,2662777.0,1389.0,67263.0,2673837.0,1527.0
12,087,71973,75027,1551,68589,74228,1443,68563.0,82170.0,1623.0,79420.0,81708.0,1467.0
12,089,63913,85832,766,70939,88625,1015,75981.0,94189.0,1206.0,90883.0,97899.0,1461.0
12,091,63997,207269,933,64222,210738,981,69823.0,213255.0,1152.0,77830.0,216482.0,1247.0
12,095,58588,1380645,1075,63461,1393452,1175,64833.0,1422746.0,1275.0,72324.0,1452726.0,1455.0
12,097,50546,367990,1096,51760,375751,1176,60585.0,403282.0,1259.0,63271.0,422545.0,1456.0
12,099,61691,1485941,1237,66623,1496770,1357,70002.0,1497987.0,1418.0,76592.0,1518477.0,1614.0
12,101,54208,539630,897,55828,553947,892,59470.0,584067.0,999.0,65999.0,608794.0,1191.0
12,103,52198,975280,963,56737,974996,1014,61947.0,956615.0,1135.0,66472.0,961739.0,1313.0
12,105,51670,708009,786,51833,724777,823,56379.0,753520.0,920.0,62051.0,787404.0,1030.0
12,107,41608,74163,617,42899,74521,622,33370.0,74167.0,654.0,46161.0,74731.0,689.0
12,109,80712,254261,1103,90356,264672,1196,91602.0,292466.0,1487.0,103017.0,306841.0,1477.0
12,111,54098,321128,1149,58039,328297,1074,62797.0,343579.0,1159.0,62705.0,358704.0,1180.0
12,113,70787,179349,915,64930,184313,967,82059.0,193998.0,1079.0,83672.0,198268.0,1201.0
12,115,61683,426718,1204,66342,433742,1204,71761.0,447057.0,1258.0,78341.0,462286.0,1579.0
12,117,67470,467832,1123,70190,471826,1179,70236.0,470093.0,1275.0,80550.0,478772.0,1467.0
12,119,53895,128754,755,60287,132420,1092,64608.0,135638.0,909.0,73391.0,144970.0,1353.0
12,127,50361,547538,889,53766,553284,913,58380.0,564412.0,986.0,64857.0,579192.0,1239.0
12,131,62914,71375,720,60457,74071,962,61787.0,80069.0,1362.0,74629.0,83304.0,1210.0
13,013,61225,80809,768,69890,83240,812,65273.0,86658.0,884.0,78216.0,89299.0,865.0
