Full Name,State,County,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent,FIPS
"Charles County, Maryland",Maryland,Charles County,2010,147086,2231.0,728,87007,1127,24017
"Charles County, Maryland",Maryland,Charles County,2011,149130,2817.0,1331,91733,1266,24017
"Charles County, Maryland",Maryland,Charles County,2012,150592,2025.0,796,90880,1177,24017
"Charles County, Maryland",Maryland,Charles County,2013,152864,2014.0,832,88797,1208,24017
"Charles County, Maryland",Maryland,Charles County,2014,154747,3625.0,867,88803,1336,24017
"Charles County, Maryland",Maryland,Charles County,2015,156118,2651.0,867,88700,1312,24017
"Charles County, Maryland",Maryland,Charles County,2016,157705,1784.0,918,95735,1349,24017
"Charles County, Maryland",Maryland,Charles County,2017,159700,4250.0,1304,97986,1565,24017
"Charles County, Maryland",Maryland,Charles County,2018,161503,3471.0,714,94368,1498,24017
"Charles County, Maryland",Maryland,Charles County,2019,163257,3847.0,1152,103932,1484,24017
"Charles County, Maryland",Maryland,Charles County,2021,168698,,1909,105493,1609,24017
"Charles County, Maryland",Maryland,Charles County,2022,170102,13121.0,1252,115880,1628,24017
"Charles County, Maryland",Maryland,Charles County,2023,171973,12159.0,1029,105087,1594,24017
"Frederick County, Maryland",Maryland,Frederick County,2005,215877,4228.0,546,73149,829,24021
"Frederick County, Maryland",Maryland,Frederick County,2006,222938,4151.0,1317,74029,909,24021
"Frederick County, Maryland",Maryland,Frederick County,2007,224705,5602.0,1453,77027,951,24021
"Frederick County, Maryland",Maryland,Frederick County,2008,225721,6817.0,1173,78728,995,24021
"Frederick County, Maryland",Maryland,Frederick County,2009,227980,6649.0,1126,83229,947,24021
"Frederick County, Maryland",Maryland,Frederick County,2010,234122,6448.0,1169,82133,1029,24021
"Frederick County, Maryland",Maryland,Frederick County,2011,236745,7365.0,1537,77791,1058,24021
"Frederick County, Maryland",Maryland,Frederick County,2012,239582,9009.0,1080,80765,1036,24021
"Frederick County, Maryland",Maryland,Frederick County,2013,241409,7939.0,2254,84308,1097,24021
"Frederick County, Maryland",Maryland,Frederick County,2014,243675,8017.0,1639,84203,1155,24021
"Frederick County, Maryland",Maryland,Frederick County,2015,245322,7765.0,1649,83819,1217,24021
"Frederick County, Maryland",Maryland,Frederick County,2016,247591,9373.0,1484,90043,1150,24021
"Frederick County, Maryland",Maryland,Frederick County,2017,252022,6808.0,1408,92495,1211,24021
"Frederick County, Maryland",Maryland,Frederick County,2018,255648,8602.0,2140,95850,1261,24021
"Frederick County, Maryland",Maryland,Frederick County,2019,259547,10937.0,1583,103516,1306,24021
"Frederick County, Maryland",Maryland,Frederick County,2021,279835,36762.0,1817,104780,1382,24021
"Frederick County, Maryland",Maryland,Frederick County,2022,287079,33610.0,2587,119122,1541,24021
"Frederick County, Maryland",Maryland,Frederick County,2023,293391,32885.0,1972,114360,1626,24021
"Harford County, Maryland",Maryland,Harford County,2005,237644,,1740,65343,705,24025
"Harford County, Maryland",Maryland,Harford County,2006,241402,4867.0,1154,69549,710,24025
"Harford County, Maryland",Maryland,Harford County,2007,239993,3748.0,490,72372,791,24025
"Harford County, Maryland",Maryland,Harford County,2008,240351,4192.0,636,77085,849,24025
"Harford County, Maryland",Maryland,Harford County,2009,242514,4093.0,2794,76187,807,24025
"Harford County, Maryland",Maryland,Harford County,2010,245177,5316.0,1938,71835,816,24025
"Harford County, Maryland",Maryland,Harford County,2011,246489,4019.0,1446,78123,867,24025
"Harford County, Maryland",Maryland,Harford County,2012,248622,5493.0,1579,76645,921,24025
"Harford County, Maryland",Maryland,Harford County,2013,249215,4190.0,1762,77765,1026,24025
"Harford County, Maryland",Maryland,Harford County,2014,250105,4681.0,1767,79649,963,24025
"Harford County, Maryland",Maryland,Harford County,2015,250290,6058.0,1718,78050,928,24025
"Harford County, Maryland",Maryland,Harford County,2016,251032,6060.0,1460,84175,1023,24025
"Harford County, Maryland",Maryland,Harford County,2017,252160,5837.0,1312,80476,1037,24025
"Harford County, Maryland",Maryland,Harford County,2018,253956,6683.0,1788,88603,1077,24025
"Harford County, Maryland",Maryland,Harford County,2019,255441,6896.0,1876,92331,1132,24025
"Harford County, Maryland",Maryland,Harford County,2021,262977,,3735,96328,1237,24025
"Harford County, Maryland",Maryland,Harford County,2022,263867,20962.0,2067,100915,1310,24025
"Harford County, Maryland",Maryland,Harford County,2023,264644,20587.0,1419,105029,1238,24025
"Howard County, Maryland",Maryland,Howard County,2005,265755,6530.0,897,91184,1007,24027
"Howard County, Maryland",Maryland,Howard County,2006,272452,8531.0,816,94260,1146,24027
"Howard County, Maryland",Maryland,Howard County,2007,273669,7235.0,512,101672,1147,24027
"Howard County, Maryland",Maryland,Howard County,2008,274995,7497.0,255,102540,1211,24027
"Howard County, Maryland",Maryland,Howard County,2009,281884,8408.0,1173,101940,1155,24027
"Howard County, Maryland",Maryland,Howard County,2010,288376,8396.0,1288,101771,1212,24027
"Howard County, Maryland",Maryland,Howard County,2011,293142,8910.0,1427,98953,1224,24027
"Howard County, Maryland",Maryland,Howard County,2012,299430,9647.0,985,108844,1353,24027
"Howard County, Maryland",Maryland,Howard County,2013,304580,9675.0,862,109476,1405,24027
"Howard County, Maryland",Maryland,Howard County,2014,309284,9064.0,1661,107490,1462,24027
"Howard County, Maryland",Maryland,Howard County,2015,313414,7330.0,763,110892,1473,24027
"Howard County, Maryland",Maryland,Howard County,2016,317233,10019.0,1775,120941,1482,24027
"Howard County, Maryland",Maryland,Howard County,2017,321113,11942.0,1052,111473,1491,24027
"Howard County, Maryland",Maryland,Howard County,2018,323196,11028.0,1198,116984,1470,24027
"Howard County, Maryland",Maryland,Howard County,2019,325690,13668.0,1721,121618,1599,24027
"Howard County, Maryland",Maryland,Howard County,2021,334529,,2675,133267,1659,24027
"Howard County, Maryland",Maryland,Howard County,2022,335411,44504.0,2399,133438,1797,24027
"Howard County, Maryland",Maryland,Howard County,2023,336001,45423.0,613,141159,1850,24027
"Montgomery County, Maryland",Maryland,Montgomery County,2005,918046,22816.0,4031,82187,1111,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2006,932131,25593.0,4328,87624,1164,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2007,930813,23821.0,3570,91835,1235,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2008,950680,27586.0,3570,94319,1263,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2009,971600,28894.0,4183,94420,1316,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2010,976203,30385.0,6656,89155,1347,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2011,989794,28895.0,6048,92909,1391,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2012,1004709,28489.0,5976,94965,1432,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2013,1016677,30133.0,8016,98326,1439,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2014,1030447,30211.0,7214,97765,1474,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2015,1040116,30943.0,6043,98917,1481,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2016,1043863,34141.0,4796,99763,1517,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2017,1058810,36175.0,4046,103235,1578,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2018,1052567,37476.0,5248,108188,1625,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2019,1050688,37156.0,5847,110389,1679,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2021,1054827,200334.0,13358,112854,1723,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2022,1052521,155134.0,6562,118323,1744,24031
"Montgomery County, Maryland",Maryland,Montgomery County,2023,1058474,133793.0,6535,125371,1865,24031
"Prince George's County, Maryland",Maryland,Prince George's County,2005,828834,11194.0,3769,63365,903,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2006,841315,8923.0,4077,65851,926,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2007,828770,11452.0,2614,68370,953,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2008,820852,12989.0,3400,72166,1013,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2009,834560,11778.0,5293,69947,1024,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2010,865271,12820.0,4924,70019,1074,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2011,871233,10209.0,5368,70715,1083,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2012,881138,11334.0,5578,69879,1133,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2013,890081,11524.0,6184,72052,1165,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2014,904430,12021.0,5960,72290,1179,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2015,909535,13336.0,5308,76741,1253,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2016,908049,15672.0,7315,79184,1251,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2017,912756,13394.0,4797,81240,1323,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2018,909308,17272.0,5871,83034,1348,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2019,909327,17682.0,5227,86290,1370,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2021,955306,110253.0,10350,90182,1450,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2022,946971,87338.0,7937,94441,1501,24033
"Prince George's County, Maryland",Maryland,Prince George's County,2023,947430,72476.0,5744,98027,1591,24033
"St. Mary's County, Maryland",Maryland,St. Mary's County,2005,93301,,445,62939,733,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2006,98854,,888,71158,776,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2007,100378,,880,75769,964,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2008,101578,,670,80624,1049,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2009,102999,,721,72474,909,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2010,105786,,837,88444,1025,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2011,107484,,893,81657,1081,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2012,108987,,1143,86358,1102,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2013,109633,,872,78233,935,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2014,110382,,545,86417,1041,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2015,111413,,911,85163,1153,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2016,112587,,2029,78195,1205,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2017,112667,,959,81495,1065,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2018,112664,,595,92250,1162,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2019,113510,,276,87947,1170,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2021,114468,,1396,108397,1280,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2022,114877,,986,113717,1385,24037
"St. Mary's County, Maryland",Maryland,St. Mary's County,2023,115281,,2896,102282,1505,24037
"Washington County, Maryland",Maryland,Washington County,2005,132574,,872,47771,528,24043
"Washington County, Maryland",Maryland,Washington County,2006,143748,2534.0,1059,52349,586,24043
"Washington County, Maryland",Maryland,Washington County,2007,145113,1418.0,1207,50320,624,24043
"Washington County, Maryland",Maryland,Washington County,2008,145384,2854.0,581,51503,641,24043
"Washington County, Maryland",Maryland,Washington County,2009,145910,2170.0,2241,48561,652,24043
"Washington County, Maryland",Maryland,Washington County,2010,147558,1913.0,713,52857,650,24043
"Washington County, Maryland",Maryland,Washington County,2011,148203,2675.0,1512,52653,673,24043
"Washington County, Maryland",Maryland,Washington County,2012,149180,3413.0,1432,53167,725,24043
"Washington County, Maryland",Maryland,Washington County,2013,149588,2727.0,1036,57615,783,24043
"Washington County, Maryland",Maryland,Washington County,2014,149573,,1611,55471,669,24043
"Washington County, Maryland",Maryland,Washington County,2015,149585,3544.0,1954,55979,755,24043
"Washington County, Maryland",Maryland,Washington County,2016,150292,2685.0,1799,54250,725,24043
"Washington County, Maryland",Maryland,Washington County,2017,150578,3353.0,2419,60385,743,24043
"Washington County, Maryland",Maryland,Washington County,2018,150926,3479.0,2428,63126,770,24043
"Washington County, Maryland",Maryland,Washington County,2019,151049,,2154,59140,789,24043
"Washington County, Maryland",Maryland,Washington County,2021,154937,,2001,65367,820,24043
"Washington County, Maryland",Maryland,Washington County,2022,155590,,2091,69244,824,24043
"Washington County, Maryland",Maryland,Washington County,2023,155813,,2020,71848,1010,24043
"Wicomico County, Maryland",Maryland,Wicomico County,2005,87334,,596,45581,609,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2006,91987,,606,47540,619,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2007,93600,1011.0,860,52132,701,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2008,94046,,1020,49186,685,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2009,94222,,522,47280,770,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2010,98843,,750,49913,711,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2011,99190,,424,46990,780,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2012,100647,,1126,51451,728,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2013,100896,,2303,48897,761,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2014,101539,,1096,53432,810,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2015,102370,,383,54781,807,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2016,102577,,1035,50844,798,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2017,102923,,996,54080,762,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2018,103195,,1493,57249,840,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2019,103609,,815,54402,853,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2021,103980,,673,63333,908,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2022,104664,4253.0,1200,72198,1052,24045
"Wicomico County, Maryland",Maryland,Wicomico County,2023,104800,,970,73834,1041,24045
"Baltimore city, Maryland",Maryland,Baltimore city,2005,608481,6233.0,14933,32456,538,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2006,631366,5946.0,15600,36031,595,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2007,637455,6742.0,11623,36949,622,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2008,636919,7980.0,9606,40313,651,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2009,637418,9146.0,10988,38772,710,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2010,620583,6620.0,15748,38346,706,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2011,619493,5641.0,19225,38721,722,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2012,621342,8910.0,16220,39241,736,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2013,622104,6679.0,13594,42266,774,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2014,622793,8023.0,14126,42665,812,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2015,621849,11253.0,12881,44165,808,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2016,614664,13406.0,11051,47350,852,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2017,611648,12109.0,12978,47131,873,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2018,602495,11914.0,8620,51000,877,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2019,593490,12470.0,12523,50177,923,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2021,576498,63694.0,17036,54652,990,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2022,569931,48227.0,13879,55198,1043,24510
"Baltimore city, Maryland",Maryland,Baltimore city,2023,565239,41727.0,13976,59579,1059,24510
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2005,220838,,1300,54439,887,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2006,224816,5099.0,1679,56974,886,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2007,222175,5549.0,1492,60015,908,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2008,221049,5770.0,1266,57314,894,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2009,221151,6279.0,2383,57947,884,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2010,215937,4180.0,2068,55294,979,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2011,215769,4994.0,1867,56699,996,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2012,215423,6065.0,1774,59453,909,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2013,214990,5062.0,2313,61026,951,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2014,214914,5110.0,1379,65384,955,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2015,214333,7795.0,1736,66102,1016,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2016,214276,7690.0,2123,67898,1165,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2017,213444,6390.0,1093,71235,1149,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2018,213413,7099.0,1414,68902,1112,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2019,212990,7952.0,1376,85042,1131,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2021,232411,20241.0,2998,83537,1340,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2022,232457,15765.0,4146,91438,1440,25001
"Barnstable County, Massachusetts",Massachusetts,Barnstable County,2023,231735,15491.0,2608,89893,1398,25001
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2005,125654,,1878,48570,484,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2006,131117,,2100,47562,518,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2007,129798,,1791,47302,562,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2008,129395,2499.0,2903,44797,590,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2009,129288,2321.0,2712,42290,625,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2010,131144,,2025,44190,618,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2011,130458,2682.0,1444,42969,616,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2012,130016,3367.0,1861,46509,651,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2013,129585,,1741,52514,641,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2014,128715,,1557,50211,626,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2015,127828,4274.0,1269,50765,698,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2016,126903,,1178,58418,718,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2017,126313,,1316,57054,721,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2018,126348,3184.0,1599,60476,737,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2019,124944,3717.0,2368,58895,741,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2021,128657,,2611,60749,794,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2022,127859,,1714,74176,825,25003
"Berkshire County, Massachusetts",Massachusetts,Berkshire County,2023,126818,8115.0,1528,77498,881,25003
"Bristol County, Massachusetts",Massachusetts,Bristol County,2005,533310,5485.0,6818,51132,595,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2006,545379,6389.0,7056,51769,609,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2007,543024,8402.0,6866,54895,629,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2008,545823,6641.0,8315,56241,651,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2009,547433,9372.0,7626,54389,643,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2010,548612,7262.0,8272,51319,649,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2011,548922,7917.0,10193,53409,677,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2012,551082,6044.0,8388,53689,670,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2013,552780,8795.0,8396,53501,698,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2014,554194,7827.0,7560,58057,671,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2015,556772,8927.0,7006,60183,716,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2016,558324,9333.0,8797,66027,712,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2017,561483,11518.0,7050,67842,743,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2018,564022,10790.0,8381,66205,767,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2019,565217,8753.0,6880,70402,808,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2021,580164,34666.0,11808,73102,879,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2022,580068,34115.0,8368,81551,945,25005
"Bristol County, Massachusetts",Massachusetts,Bristol County,2023,581841,25938.0,10336,81148,1067,25005
"Essex County, Massachusetts",Massachusetts,Essex County,2005,721625,12296.0,6864,57164,821,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2006,735958,15473.0,5927,59575,829,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2007,733101,15130.0,5997,61461,832,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2008,736457,15596.0,7457,65562,853,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2009,742582,14916.0,8417,62986,853,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2010,744644,15111.0,7114,61789,857,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2011,748930,17172.0,8227,64887,867,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2012,755618,19627.0,8899,67888,926,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2013,762550,17583.0,10685,67522,930,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2014,769091,26573.0,10572,70366,940,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2015,776043,21943.0,8021,68455,985,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2016,779018,21338.0,11911,73901,1024,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2017,785205,21233.0,9326,75480,1038,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2018,790638,21529.0,9226,76604,1115,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2019,789034,20253.0,14020,83810,1186,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2021,807074,81042.0,18743,87433,1311,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2022,806765,68221.0,10991,92413,1498,25009
"Essex County, Massachusetts",Massachusetts,Essex County,2023,810089,60926.0,13721,96874,1556,25009
"Franklin County, Massachusetts",Massachusetts,Franklin County,2005,70928,,743,47252,605,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2006,72183,,610,51871,590,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2007,71602,,562,52270,673,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2008,71735,,822,52667,678,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2009,71778,,782,49050,697,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2010,71369,,1349,50001,731,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2011,71599,,767,50361,710,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2012,71540,,989,55416,685,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2013,71221,,960,52339,750,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2014,70862,,1243,55572,680,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2015,70601,,891,58613,857,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2016,70382,,710,57106,765,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2017,70702,,847,58824,808,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2018,70963,,751,59248,754,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2019,70180,,1413,60018,847,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2021,71015,,816,69771,903,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2022,70894,,1331,70306,848,25011
"Franklin County, Massachusetts",Massachusetts,Franklin County,2023,70836,,584,71296,988,25011
"Hampden County, Massachusetts",Massachusetts,Hampden County,2005,447309,,9785,41789,536,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2006,460520,4809.0,7090,44765,572,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2007,457908,5576.0,9233,45834,608,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2008,460840,5115.0,9370,48583,619,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2009,471081,5305.0,8960,46809,619,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2010,463678,6978.0,7657,46447,661,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2011,463783,6284.0,8014,47897,656,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2012,465923,6819.0,12497,48865,685,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2013,467319,8050.0,8992,48845,697,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2014,468161,6118.0,7776,49211,737,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2015,470690,8139.0,8836,51514,746,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2016,468467,8261.0,6522,51544,734,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2017,469818,7158.0,8750,51726,758,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2018,470406,8008.0,7209,52372,763,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2019,466372,9599.0,8438,60161,811,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2021,462718,26139.0,10275,61747,856,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2022,461041,20308.0,7768,63866,856,25013
"Hampden County, Massachusetts",Massachusetts,Hampden County,2023,460291,18136.0,10830,66997,965,25013
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2005,135676,,1440,48401,704,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2006,153471,,848,52349,688,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2007,153147,3889.0,1606,55623,679,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2008,154983,6418.0,658,63732,753,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2009,156044,4218.0,1258,56661,728,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2010,158094,7947.0,728,58449,763,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2011,157822,8404.0,1319,54179,787,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2012,159795,5956.0,1187,59065,760,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2013,159596,5646.0,1081,65190,875,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2014,160939,,1701,56079,842,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2015,161292,5520.0,2007,60583,907,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2016,161816,,1017,64354,903,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2017,161834,6912.0,1061,67989,983,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2018,161355,6767.0,1273,76966,956,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2019,160830,4643.0,1216,74778,974,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2021,161572,,3472,77495,1155,25015
"Hampshire County, Massachusetts",Massachusetts,Hampshire County,2022,162588,,2914,82078,1175,25015
