State,County,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Louisiana,East Baton Rouge Parish,"East Baton Rouge Parish, Louisiana",2005,396735,3545.0,2011,39847,497
Louisiana,Iberia Parish,"Iberia Parish, Louisiana",2005,72773,,278,35476,323
Louisiana,Jefferson Parish,"Jefferson Parish, Louisiana",2005,448578,3031.0,3526,41773,546
Louisiana,Lafayette Parish,"Lafayette Parish, Louisiana",2005,192448,,856,40981,452
Louisiana,Lafourche Parish,"Lafourche Parish, Louisiana",2005,90543,,698,40232,376
Louisiana,Livingston Parish,"Livingston Parish, Louisiana",2005,108622,,655,46081,370
Louisiana,Orleans Parish,"Orleans Parish, Louisiana",2005,437186,6451.0,5007,30711,464
Louisiana,Ouachita Parish,"Ouachita Parish, Louisiana",2005,143857,,668,34838,384
Louisiana,Rapides Parish,"Rapides Parish, Louisiana",2005,123090,,1064,34236,385
Louisiana,St. Bernard Parish,"St. Bernard Parish, Louisiana",2005,64576,,311,34858,468
Louisiana,St. Landry Parish,"St. Landry Parish, Louisiana",2005,88409,,785,22460,237
Louisiana,St. Tammany Parish,"St. Tammany Parish, Louisiana",2005,217999,,1686,53979,586
Louisiana,Tangipahoa Parish,"Tangipahoa Parish, Louisiana",2005,103261,,1115,35154,381
Louisiana,Terrebonne Parish,"Terrebonne Parish, Louisiana",2005,106078,,297,37115,438
Maine,Androscoggin County,"Androscoggin County, Maine",2005,104298,,2935,43005,554
Maine,Aroostook County,"Aroostook County, Maine",2005,71046,,2339,32148,362
Maine,Cumberland County,"Cumberland County, Maine",2005,264737,7854.0,3646,50057,710
Maine,Kennebec County,"Kennebec County, Maine",2005,117620,,2139,44162,487
Maine,Penobscot County,"Penobscot County, Maine",2005,140625,,3412,40761,507
Maine,York County,"York County, Maine",2005,198899,,3770,49678,664
Maryland,Allegany County,"Allegany County, Maryland",2005,67114,,610,33317,347
Maryland,Anne Arundel County,"Anne Arundel County, Maryland",2005,494676,11086.0,1957,71961,940
Maryland,Baltimore County,"Baltimore County, Maryland",2005,767597,13103.0,4638,56295,743
Maryland,Baltimore city,"Baltimore city, Maryland",2005,608481,6233.0,14933,32456,538
Maryland,Calvert County,"Calvert County, Maryland",2005,87303,,297,84388,1069
Maryland,Carroll County,"Carroll County, Maryland",2005,164663,,676,75833,659
Maryland,Cecil County,"Cecil County, Maryland",2005,96309,,1216,59137,637
Maryland,Charles County,"Charles County, Maryland",2005,137341,,455,69573,849
Maryland,Frederick County,"Frederick County, Maryland",2005,215877,4228.0,546,73149,829
Maryland,Harford County,"Harford County, Maryland",2005,237644,,1740,65343,705
Maryland,Howard County,"Howard County, Maryland",2005,265755,6530.0,897,91184,1007
Maryland,Montgomery County,"Montgomery County, Maryland",2005,918046,22816.0,4031,82187,1111
Maryland,Prince George's County,"Prince George's County, Maryland",2005,828834,11194.0,3769,63365,903
Maryland,St. Mary's County,"St. Mary's County, Maryland",2005,93301,,445,62939,733
Maryland,Washington County,"Washington County, Maryland",2005,132574,,872,47771,528
Maryland,Wicomico County,"Wicomico County, Maryland",2005,87334,,596,45581,609
Massachusetts,Barnstable County,"Barnstable County, Massachusetts",2005,220838,,1300,54439,887
Massachusetts,Berkshire County,"Berkshire County, Massachusetts",2005,125654,,1878,48570,484
Massachusetts,Bristol County,"Bristol County, Massachusetts",2005,533310,5485.0,6818,51132,595
Massachusetts,Essex County,"Essex County, Massachusetts",2005,721625,12296.0,6864,57164,821
Massachusetts,Franklin County,"Franklin County, Massachusetts",2005,70928,,743,47252,605
Massachusetts,Hampden County,"Hampden County, Massachusetts",2005,447309,,9785,41789,536
Massachusetts,Hampshire County,"Hampshire County, Massachusetts",2005,135676,,1440,48401,704
Massachusetts,Middlesex County,"Middlesex County, Massachusetts",2005,1405511,25974.0,8212,69045,983
Massachusetts,Norfolk County,"Norfolk County, Massachusetts",2005,636632,11631.0,3114,71561,1036
Massachusetts,Plymouth County,"Plymouth County, Massachusetts",2005,481100,9879.0,3093,66778,823
Massachusetts,Suffolk County,"Suffolk County, Massachusetts",2005,620053,7767.0,10089,43180,968
Massachusetts,Worcester County,"Worcester County, Massachusetts",2005,759409,12095.0,6159,55513,682
Michigan,Allegan County,"Allegan County, Michigan",2005,111257,,1240,46672,507
Michigan,Bay County,"Bay County, Michigan",2005,107256,,1331,41384,442
Michigan,Berrien County,"Berrien County, Michigan",2005,158224,,3781,39419,439
Michigan,Calhoun County,"Calhoun County, Michigan",2005,134628,,2995,40223,464
Michigan,Clinton County,"Clinton County, Michigan",2005,68524,,362,59495,504
Michigan,Eaton County,"Eaton County, Michigan",2005,105632,,894,47335,569
Michigan,Genesee County,"Genesee County, Michigan",2005,438589,,9076,42473,458
Michigan,Grand Traverse County,"Grand Traverse County, Michigan",2005,81174,,813,47572,703
