State,County,Name,Year,Total Population,Total Worked from Home,Total With Public Assistance,Median Household Income,Median Rent
Washington,Benton County,"Benton County, Washington",2015,190309,3540.0,2205,62484,725
Washington,Chelan County,"Chelan County, Washington",2015,75644,,765,56890,723
Washington,Clallam County,"Clallam County, Washington",2015,73486,,1901,44929,741
Washington,Clark County,"Clark County, Washington",2015,459495,13730.0,7797,64275,951
Washington,Cowlitz County,"Cowlitz County, Washington",2015,103468,,2320,49949,682
Washington,Franklin County,"Franklin County, Washington",2015,88807,,499,59664,715
Washington,Grant County,"Grant County, Washington",2015,93259,,797,51667,629
Washington,Grays Harbor County,"Grays Harbor County, Washington",2015,71122,,962,44122,625
Washington,Island County,"Island County, Washington",2015,80593,,817,60532,952
Washington,King County,"King County, Washington",2015,2117125,69976.0,21347,81916,1228
Washington,Kitsap County,"Kitsap County, Washington",2015,260131,7082.0,3142,66090,931
Washington,Lewis County,"Lewis County, Washington",2015,75882,,1060,48179,707
Washington,Pierce County,"Pierce County, Washington",2015,843954,19846.0,12629,60167,929
Washington,Skagit County,"Skagit County, Washington",2015,121846,3181.0,1147,57122,835
Washington,Snohomish County,"Snohomish County, Washington",2015,772501,19310.0,9938,76251,1078
Washington,Spokane County,"Spokane County, Washington",2015,490945,11409.0,9315,48525,696
Washington,Thurston County,"Thurston County, Washington",2015,269536,5915.0,5666,62137,910
Washington,Whatcom County,"Whatcom County, Washington",2015,212284,4540.0,2702,55016,836
Washington,Yakima County,"Yakima County, Washington",2015,248830,5092.0,4281,47223,626
West Virginia,Berkeley County,"Berkeley County, West Virginia",2015,111901,,612,53548,699
West Virginia,Cabell County,"Cabell County, West Virginia",2015,96844,,1073,38839,536
West Virginia,Harrison County,"Harrison County, West Virginia",2015,68714,,534,48285,472
West Virginia,Kanawha County,"Kanawha County, West Virginia",2015,188332,,2192,45028,543
West Virginia,Monongalia County,"Monongalia County, West Virginia",2015,104236,1928.0,943,45880,788
West Virginia,Raleigh County,"Raleigh County, West Virginia",2015,77510,,698,37262,465
West Virginia,Wood County,"Wood County, West Virginia",2015,86452,,1678,39991,508
Wisconsin,Brown County,"Brown County, Wisconsin",2015,258718,4428.0,1644,54802,620
Wisconsin,Dane County,"Dane County, Wisconsin",2015,523643,13168.0,3095,65202,866
Wisconsin,Dodge County,"Dodge County, Wisconsin",2015,88502,,875,55832,642
Wisconsin,Eau Claire County,"Eau Claire County, Wisconsin",2015,102105,2703.0,905,51667,656
Wisconsin,Fond du Lac County,"Fond du Lac County, Wisconsin",2015,101973,2441.0,676,57620,587
Wisconsin,Jefferson County,"Jefferson County, Wisconsin",2015,84559,1913.0,765,62399,644
Wisconsin,Kenosha County,"Kenosha County, Wisconsin",2015,168437,2407.0,1054,55845,690
Wisconsin,La Crosse County,"La Crosse County, Wisconsin",2015,118212,1472.0,573,49933,644
Wisconsin,Manitowoc County,"Manitowoc County, Wisconsin",2015,79806,,482,50302,487
Wisconsin,Marathon County,"Marathon County, Wisconsin",2015,135868,3855.0,769,55687,594
Wisconsin,Milwaukee County,"Milwaukee County, Wisconsin",2015,957735,15806.0,12251,45859,692
Wisconsin,Outagamie County,"Outagamie County, Wisconsin",2015,183245,4077.0,1113,59252,635
Wisconsin,Ozaukee County,"Ozaukee County, Wisconsin",2015,87850,,170,79048,751
Wisconsin,Portage County,"Portage County, Wisconsin",2015,70408,,864,57244,620
Wisconsin,Racine County,"Racine County, Wisconsin",2015,195080,3066.0,5615,57232,672
Wisconsin,Rock County,"Rock County, Wisconsin",2015,161448,2145.0,1676,53777,631
Wisconsin,Sheboygan County,"Sheboygan County, Wisconsin",2015,115569,1841.0,1119,57047,546
Wisconsin,St. Croix County,"St. Croix County, Wisconsin",2015,87513,2507.0,245,71449,730
Wisconsin,Walworth County,"Walworth County, Wisconsin",2015,102804,,829,58537,704
Wisconsin,Washington County,"Washington County, Wisconsin",2015,133674,2006.0,720,69713,721
Wisconsin,Waukesha County,"Waukesha County, Wisconsin",2015,396488,7722.0,1244,77761,842
Wisconsin,Winnebago County,"Winnebago County, Wisconsin",2015,169546,2598.0,983,52136,612
Wisconsin,Wood County,"Wood County, Wisconsin",2015,73435,,1428,50796,528
Wyoming,Laramie County,"Laramie County, Wyoming",2015,97121,1033.0,411,60599,761
Wyoming,Natrona County,"Natrona County, Wyoming",2015,82178,,425,52886,708
Alabama,Baldwin County,"Baldwin County, Alabama",2016,208563,,471,56732,814
Alabama,Calhoun County,"Calhoun County, Alabama",2016,114611,,742,41687,468
Alabama,Cullman County,"Cullman County, Alabama",2016,82471,,448,39411,461
Alabama,DeKalb County,"DeKalb County, Alabama",2016,70900,,521,35963,412
Alabama,Elmore County,"Elmore County, Alabama",2016,81799,,486,52579,621
Alabama,Etowah County,"Etowah County, Alabama",2016,102564,,261,41152,437
Alabama,Houston County,"Houston County, Alabama",2016,104056,926.0,454,42321,533
Alabama,Jefferson County,"Jefferson County, Alabama",2016,659521,7879.0,4519,50180,640
Alabama,Lauderdale County,"Lauderdale County, Alabama",2016,92318,,471,43427,457
Alabama,Lee County,"Lee County, Alabama",2016,158991,,791,48056,636
Alabama,Limestone County,"Limestone County, Alabama",2016,92753,,678,50872,469
Alabama,Madison County,"Madison County, Alabama",2016,356967,6223.0,3632,60503,658
Alabama,Marshall County,"Marshall County, Alabama",2016,95157,,593,42362,450
Alabama,Mobile County,"Mobile County, Alabama",2016,414836,8075.0,1840,45744,605
Alabama,Montgomery County,"Montgomery County, Alabama",2016,226349,3724.0,1231,45395,634
Alabama,Morgan County,"Morgan County, Alabama",2016,119012,,895,44378,472
Alabama,Shelby County,"Shelby County, Alabama",2016,210622,,800,73647,804
Alabama,St. Clair County,"St. Clair County, Alabama",2016,88019,,309,60158,546
Alabama,Talladega County,"Talladega County, Alabama",2016,80103,,443,39393,496
Alabama,Tuscaloosa County,"Tuscaloosa County, Alabama",2016,206102,,3027,47787,627
Alabama,Walker County,"Walker County, Alabama",2016,64967,,441,39068,480
Alaska,Anchorage Municipality,"Anchorage Municipality, Alaska",2016,298192,6926.0,6021,85634,1194
Alaska,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",2016,100605,,904,77328,1189
Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",2016,104365,3210.0,1728,69332,961
Arizona,Apache County,"Apache County, Arizona",2016,73112,,1144,34685,311
Arizona,Cochise County,"Cochise County, Arizona",2016,125770,,1388,45508,642
Arizona,Coconino County,"Coconino County, Arizona",2016,140908,4117.0,1127,55091,861
Arizona,Maricopa County,"Maricopa County, Arizona",2016,4242997,134556.0,23444,58737,881
Arizona,Mohave County,"Mohave County, Arizona",2016,205249,,1846,42423,655
Arizona,Navajo County,"Navajo County, Arizona",2016,110026,,1228,36998,531
Arizona,Pima County,"Pima County, Arizona",2016,1016206,23358.0,6715,47560,716
Arizona,Pinal County,"Pinal County, Arizona",2016,418540,8584.0,2006,52555,759
Arizona,Yavapai County,"Yavapai County, Arizona",2016,225562,,1221,50420,788
Arizona,Yuma County,"Yuma County, Arizona",2016,205631,2038.0,1057,43518,616
Arkansas,Benton County,"Benton County, Arkansas",2016,258291,,834,63631,655
Arkansas,Craighead County,"Craighead County, Arkansas",2016,105835,,672,43678,614
Arkansas,Faulkner County,"Faulkner County, Arkansas",2016,122227,,789,48506,651
Arkansas,Garland County,"Garland County, Arkansas",2016,97477,,650,42826,568
Arkansas,Jefferson County,"Jefferson County, Arkansas",2016,70016,,3417,37712,508
Arkansas,Lonoke County,"Lonoke County, Arkansas",2016,72228,,238,55837,654
Arkansas,Pulaski County,"Pulaski County, Arkansas",2016,393250,6196.0,2143,47387,657
Arkansas,Saline County,"Saline County, Arkansas",2016,118703,,1010,64932,620
Arkansas,Sebastian County,"Sebastian County, Arkansas",2016,127793,,1044,42053,526
Arkansas,Washington County,"Washington County, Arkansas",2016,228049,3952.0,596,45679,595
Arkansas,White County,"White County, Arkansas",2016,79263,,347,42844,510
California,Alameda County,"Alameda County, California",2016,1647704,55332.0,18059,89979,1535
California,Butte County,"Butte County, California",2016,226864,5118.0,3672,45177,854
California,Contra Costa County,"Contra Costa County, California",2016,1135127,33345.0,10689,91045,1590
California,El Dorado County,"El Dorado County, California",2016,185625,6351.0,1846,75772,1064
California,Fresno County,"Fresno County, California",2016,979915,17479.0,24405,48715,784
California,Humboldt County,"Humboldt County, California",2016,136646,3971.0,2081,43130,811
California,Imperial County,"Imperial County, California",2016,180883,2807.0,3842,49095,652
California,Kern County,"Kern County, California",2016,884788,11122.0,17079,49903,774
California,Kings County,"Kings County, California",2016,149785,3166.0,1888,53234,754
California,Lake County,"Lake County, California",2016,64116,,789,42029,714
California,Los Angeles County,"Los Angeles County, California",2016,10137915,255573.0,120708,61338,1226
California,Madera County,"Madera County, California",2016,154697,1263.0,2768,51657,819
California,Marin County,"Marin County, California",2016,260651,14662.0,1540,103845,1831
California,Mendocino County,"Mendocino County, California",2016,87628,,2041,43809,881
California,Merced County,"Merced County, California",2016,268672,2950.0,6664,47739,761
California,Monterey County,"Monterey County, California",2016,435232,8469.0,1980,63876,1218
California,Napa County,"Napa County, California",2016,142166,5258.0,605,75077,1374
California,Nevada County,"Nevada County, California",2016,99107,,1140,59022,1082
California,Orange County,"Orange County, California",2016,3172532,95142.0,21556,81837,1635
California,Placer County,"Placer County, California",2016,380531,15405.0,3280,85426,1243
California,Riverside County,"Riverside County, California",2016,2387741,51662.0,23023,60134,1131
California,Sacramento County,"Sacramento County, California",2016,1514460,44396.0,25116,59780,980
California,San Bernardino County,"San Bernardino County, California",2016,2140096,50696.0,29066,56337,1042
California,San Diego County,"San Diego County, California",2016,3317749,114769.0,31045,70824,1415
California,San Francisco County,"San Francisco County, California",2016,870887,32191.0,7267,103801,1731
California,San Joaquin County,"San Joaquin County, California",2016,733709,12746.0,11267,59518,900
California,San Luis Obispo County,"San Luis Obispo County, California",2016,282887,8158.0,881,70564,1218
California,San Mateo County,"San Mateo County, California",2016,764797,20118.0,4826,108627,2024
California,Santa Barbara County,"Santa Barbara County, California",2016,446170,11984.0,2995,67436,1457
California,Santa Clara County,"Santa Clara County, California",2016,1919402,50745.0,13154,111069,1986
California,Santa Cruz County,"Santa Cruz County, California",2016,274673,10348.0,2113,77613,1489
California,Shasta County,"Shasta County, California",2016,179631,4007.0,2439,46724,788
California,Solano County,"Solano County, California",2016,440207,8186.0,6022,73900,1297
California,Sonoma County,"Sonoma County, California",2016,503070,18100.0,3389,73929,1420
California,Stanislaus County,"Stanislaus County, California",2016,541560,11110.0,8663,54305,867
California,Sutter County,"Sutter County, California",2016,96651,,1593,51397,787
California,Tulare County,"Tulare County, California",2016,460437,4840.0,12599,45881,712
California,Ventura County,"Ventura County, California",2016,849738,21317.0,4825,80135,1553
California,Yolo County,"Yolo County, California",2016,215802,5506.0,1701,64904,1091
California,Yuba County,"Yuba County, California",2016,75275,,1333,49259,786
Colorado,Adams County,"Adams County, Colorado",2016,498187,12510.0,3397,66033,1122
Colorado,Arapahoe County,"Arapahoe County, Colorado",2016,637068,23308.0,3661,70950,1195
Colorado,Boulder County,"Boulder County, Colorado",2016,322226,20344.0,1902,74615,1259
Colorado,Broomfield County,"Broomfield County, Colorado",2016,66529,,331,84349,1405
Colorado,Denver County,"Denver County, Colorado",2016,693060,30811.0,6747,61105,1134
Colorado,Douglas County,"Douglas County, Colorado",2016,328632,20957.0,1226,109292,1419
Colorado,El Paso County,"El Paso County, Colorado",2016,688284,23234.0,6215,63882,916
Colorado,Jefferson County,"Jefferson County, Colorado",2016,571837,27121.0,3736,74186,1158
Colorado,Larimer County,"Larimer County, Colorado",2016,339993,13462.0,2705,66469,1097
Colorado,Mesa County,"Mesa County, Colorado",2016,150083,4199.0,1387,48846,807
Colorado,Pueblo County,"Pueblo County, Colorado",2016,165123,1840.0,2361,44677,661
Colorado,Weld County,"Weld County, Colorado",2016,294932,8077.0,2490,63400,858
Connecticut,Fairfield County,"Fairfield County, Connecticut",2016,944177,28121.0,5935,90123,1244
Connecticut,Hartford County,"Hartford County, Connecticut",2016,892389,18811.0,19742,69433,904
Connecticut,Litchfield County,"Litchfield County, Connecticut",2016,182571,6214.0,1790,76993,836
Connecticut,Middlesex County,"Middlesex County, Connecticut",2016,163329,5989.0,1478,79739,965
Connecticut,New Haven County,"New Haven County, Connecticut",2016,856875,19180.0,13825,66176,924
Connecticut,New London County,"New London County, Connecticut",2016,269801,7797.0,3672,70699,904
Connecticut,Tolland County,"Tolland County, Connecticut",2016,151118,4262.0,1340,81252,882
Connecticut,Windham County,"Windham County, Connecticut",2016,116192,,4776,61608,721
Delaware,Kent County,"Kent County, Delaware",2016,174827,,2629,54140,809
Delaware,New Castle County,"New Castle County, Delaware",2016,556987,11085.0,3965,67274,941
Delaware,Sussex County,"Sussex County, Delaware",2016,220251,5654.0,1704,57734,728
District of Columbia,District of Columbia,"District of Columbia, District of Columbia",2016,681170,21761.0,11025,75506,1290
Florida,Alachua County,"Alachua County, Florida",2016,263496,7063.0,2177,45304,756
Florida,Bay County,"Bay County, Florida",2016,183974,3015.0,1079,49157,779
Florida,Brevard County,"Brevard County, Florida",2016,579130,14474.0,4050,51184,826
Florida,Broward County,"Broward County, Florida",2016,1909632,43048.0,10083,54212,1168
Florida,Charlotte County,"Charlotte County, Florida",2016,178465,,840,44200,837
Florida,Citrus County,"Citrus County, Florida",2016,143621,,1030,39206,659
Florida,Clay County,"Clay County, Florida",2016,208311,,1756,56315,870
Florida,Collier County,"Collier County, Florida",2016,365136,11665.0,1036,61228,1128
Florida,Columbia County,"Columbia County, Florida",2016,69299,,365,42019,637
Florida,Duval County,"Duval County, Florida",2016,926255,21959.0,9426,51980,833
Florida,Escambia County,"Escambia County, Florida",2016,315187,13876.0,1581,44788,720
Florida,Flagler County,"Flagler County, Florida",2016,108310,,692,49395,993
Florida,Hernando County,"Hernando County, Florida",2016,182835,,1107,47253,762
Florida,Highlands County,"Highlands County, Florida",2016,100917,,441,36490,604
Florida,Hillsborough County,"Hillsborough County, Florida",2016,1376238,44422.0,10862,54588,931
Florida,Indian River County,"Indian River County, Florida",2016,151563,,532,49072,782
Florida,Lake County,"Lake County, Florida",2016,335396,8136.0,2132,50226,819
Florida,Lee County,"Lee County, Florida",2016,722336,16816.0,5215,52909,910
Florida,Leon County,"Leon County, Florida",2016,287822,5315.0,1393,51107,787
Florida,Manatee County,"Manatee County, Florida",2016,375888,10272.0,2614,51748,902
Florida,Marion County,"Marion County, Florida",2016,349020,8331.0,2626,39383,682
Florida,Martin County,"Martin County, Florida",2016,158701,,638,54620,887
Florida,Miami-Dade County,"Miami-Dade County, Florida",2016,2712945,69580.0,22182,45935,1076
Florida,Monroe County,"Monroe County, Florida",2016,79077,2846.0,774,65717,1470
Florida,Nassau County,"Nassau County, Florida",2016,80622,,651,71515,918
Florida,Okaloosa County,"Okaloosa County, Florida",2016,201170,,1312,60026,844
Florida,Orange County,"Orange County, Florida",2016,1314367,35709.0,8204,51335,953
Florida,Osceola County,"Osceola County, Florida",2016,336015,,2811,51436,927
Florida,Palm Beach County,"Palm Beach County, Florida",2016,1443810,45808.0,13532,57580,1154
Florida,Pasco County,"Pasco County, Florida",2016,512368,16654.0,5419,46264,816
Florida,Pinellas County,"Pinellas County, Florida",2016,960730,35943.0,12174,50036,850
Florida,Polk County,"Polk County, Florida",2016,666149,11256.0,6067,46355,719
Florida,Putnam County,"Putnam County, Florida",2016,72277,,1052,38239,610
Florida,Santa Rosa County,"Santa Rosa County, Florida",2016,170497,,921,63619,853
Florida,Sarasota County,"Sarasota County, Florida",2016,412569,13492.0,1918,54989,1028
Florida,Seminole County,"Seminole County, Florida",2016,455479,18337.0,3315,61311,1006
Florida,St. Johns County,"St. Johns County, Florida",2016,235087,10459.0,1127,78581,1143
Florida,St. Lucie County,"St. Lucie County, Florida",2016,306507,5931.0,1815,44804,980
Florida,Sumter County,"Sumter County, Florida",2016,123996,,512,54562,774
Florida,Volusia County,"Volusia County, Florida",2016,529364,15109.0,4075,45366,808
Florida,Walton County,"Walton County, Florida",2016,65889,,134,56246,774
Georgia,Barrow County,"Barrow County, Georgia",2016,77126,,788,54256,726
Georgia,Bartow County,"Bartow County, Georgia",2016,103807,,3437,51405,653
Georgia,Bibb County,"Bibb County, Georgia",2016,152760,,1698,36724,572
Georgia,Bulloch County,"Bulloch County, Georgia",2016,74722,,355,43982,547
Georgia,Carroll County,"Carroll County, Georgia",2016,116261,,1028,51228,617
Georgia,Catoosa County,"Catoosa County, Georgia",2016,66398,,606,55717,570
Georgia,Chatham County,"Chatham County, Georgia",2016,289082,7123.0,1184,53964,827
Georgia,Cherokee County,"Cherokee County, Georgia",2016,241689,10852.0,930,77950,943
Georgia,Clarke County,"Clarke County, Georgia",2016,124707,2925.0,450,34999,656
Georgia,Clayton County,"Clayton County, Georgia",2016,279462,6209.0,1746,45252,723
Georgia,Cobb County,"Cobb County, Georgia",2016,748150,33467.0,2776,70947,938
Georgia,Columbia County,"Columbia County, Georgia",2016,147450,,448,72737,851
Georgia,Coweta County,"Coweta County, Georgia",2016,140526,,904,71220,755
Georgia,DeKalb County,"DeKalb County, Georgia",2016,740321,21019.0,4391,56109,876
Georgia,Dougherty County,"Dougherty County, Georgia",2016,90017,,981,37222,506
Georgia,Douglas County,"Douglas County, Georgia",2016,142224,,1062,62445,816
Georgia,Fayette County,"Fayette County, Georgia",2016,111627,,197,80626,1146
Georgia,Floyd County,"Floyd County, Georgia",2016,96560,,3107,49865,550
Georgia,Forsyth County,"Forsyth County, Georgia",2016,221009,12627.0,722,100909,1070
Georgia,Fulton County,"Fulton County, Georgia",2016,1023336,40377.0,5864,63510,956
Georgia,Glynn County,"Glynn County, Georgia",2016,84502,,285,48926,661
Georgia,Gwinnett County,"Gwinnett County, Georgia",2016,907135,25528.0,3744,67155,991
Georgia,Hall County,"Hall County, Georgia",2016,196637,,3391,54917,711
Georgia,Henry County,"Henry County, Georgia",2016,221768,,719,66905,914
Georgia,Houston County,"Houston County, Georgia",2016,152122,,786,62493,700
Georgia,Liberty County,"Liberty County, Georgia",2016,62570,,258,45138,858
Georgia,Lowndes County,"Lowndes County, Georgia",2016,114628,,1118,41449,577
Georgia,Muscogee County,"Muscogee County, Georgia",2016,197485,6871.0,1214,40060,652
Georgia,Newton County,"Newton County, Georgia",2016,106999,,452,48628,688
Georgia,Paulding County,"Paulding County, Georgia",2016,155825,,1556,60856,880
Georgia,Richmond County,"Richmond County, Georgia",2016,201647,1304.0,3302,41419,646
Georgia,Rockdale County,"Rockdale County, Georgia",2016,89355,,1395,56820,789
Georgia,Troup County,"Troup County, Georgia",2016,70005,,639,42371,594
Georgia,Walker County,"Walker County, Georgia",2016,67896,,163,39209,538
Georgia,Walton County,"Walton County, Georgia",2016,90184,,609,53202,719
Georgia,Whitfield County,"Whitfield County, Georgia",2016,104589,,474,46399,543
Hawaii,Hawaii County,"Hawaii County, Hawaii",2016,198449,6854.0,2421,55750,987
Hawaii,Honolulu County,"Honolulu County, Hawaii",2016,992605,21028.0,11834,80513,1489
Hawaii,Kauai County,"Kauai County, Hawaii",2016,72029,,382,71344,1183
Hawaii,Maui County,"Maui County, Hawaii",2016,165379,4243.0,1500,72257,1163
Idaho,Ada County,"Ada County, Idaho",2016,444028,15646.0,3513,61301,801
Idaho,Bannock County,"Bannock County, Idaho",2016,84377,1315.0,1460,48429,551
Idaho,Bonneville County,"Bonneville County, Idaho",2016,112232,,1523,59706,625
Idaho,Canyon County,"Canyon County, Idaho",2016,211698,4628.0,2701,48437,677
Idaho,Kootenai County,"Kootenai County, Idaho",2016,154311,,1833,51765,792
Idaho,Twin Falls County,"Twin Falls County, Idaho",2016,83514,,716,51210,705
Illinois,Adams County,"Adams County, Illinois",2016,66578,,349,51624,518
Illinois,Champaign County,"Champaign County, Illinois",2016,208419,3969.0,1192,50335,700
Illinois,Cook County,"Cook County, Illinois",2016,5203499,116524.0,56117,60046,935
Illinois,DeKalb County,"DeKalb County, Illinois",2016,104528,2550.0,1093,59285,748
Illinois,DuPage County,"DuPage County, Illinois",2016,929368,36627.0,5868,84908,1147
Illinois,Kane County,"Kane County, Illinois",2016,531715,13362.0,3672,73347,926
Illinois,Kankakee County,"Kankakee County, Illinois",2016,110008,1639.0,1120,54911,702
Illinois,Kendall County,"Kendall County, Illinois",2016,124695,,621,90482,1013
Illinois,LaSalle County,"LaSalle County, Illinois",2016,110642,,727,57476,607
Illinois,Lake County,"Lake County, Illinois",2016,703047,26861.0,5274,83152,981
Illinois,Macon County,"Macon County, Illinois",2016,106550,,1626,46198,506
Illinois,Madison County,"Madison County, Illinois",2016,265759,4715.0,2803,56035,619
Illinois,McHenry County,"McHenry County, Illinois",2016,307004,9166.0,1443,81063,1044
Illinois,McLean County,"McLean County, Illinois",2016,172418,4296.0,1041,62156,690
Illinois,Peoria County,"Peoria County, Illinois",2016,185006,3043.0,2124,51975,616
Illinois,Rock Island County,"Rock Island County, Illinois",2016,144784,1999.0,995,50948,591
Illinois,Sangamon County,"Sangamon County, Illinois",2016,197499,3912.0,1476,53782,626
Illinois,St. Clair County,"St. Clair County, Illinois",2016,262759,4706.0,3816,50267,643
Illinois,Tazewell County,"Tazewell County, Illinois",2016,134385,,935,60152,579
Illinois,Vermilion County,"Vermilion County, Illinois",2016,78111,,488,45481,474
Illinois,Will County,"Will County, Illinois",2016,689529,14814.0,3504,81438,946
Illinois,Williamson County,"Williamson County, Illinois",2016,67560,,1039,48409,525
Illinois,Winnebago County,"Winnebago County, Illinois",2016,285873,4956.0,4693,49749,603
Indiana,Allen County,"Allen County, Indiana",2016,370404,8036.0,3092,51173,575
Indiana,Bartholomew County,"Bartholomew County, Indiana",2016,81402,,883,59102,723
Indiana,Clark County,"Clark County, Indiana",2016,116031,,558,51401,637
Indiana,Delaware County,"Delaware County, Indiana",2016,115603,,1520,41041,523
Indiana,Elkhart County,"Elkhart County, Indiana",2016,203781,2396.0,1226,54216,620
Indiana,Floyd County,"Floyd County, Indiana",2016,76990,,140,58586,616
Indiana,Grant County,"Grant County, Indiana",2016,66937,,265,37117,492
Indiana,Hamilton County,"Hamilton County, Indiana",2016,316373,,1143,89823,973
Indiana,Hancock County,"Hancock County, Indiana",2016,73717,,221,67799,721
Indiana,Hendricks County,"Hendricks County, Indiana",2016,160610,,382,78307,858
Indiana,Howard County,"Howard County, Indiana",2016,82568,,996,45702,558
Indiana,Johnson County,"Johnson County, Indiana",2016,151982,,541,65991,756
Indiana,Kosciusko County,"Kosciusko County, Indiana",2016,79092,,910,53963,599
Indiana,LaPorte County,"LaPorte County, Indiana",2016,110015,,832,53507,613
Indiana,Lake County,"Lake County, Indiana",2016,485846,5476.0,3400,53681,692
Indiana,Madison County,"Madison County, Indiana",2016,129296,1956.0,3351,45495,532
Indiana,Marion County,"Marion County, Indiana",2016,941229,14057.0,5759,44874,676
Indiana,Monroe County,"Monroe County, Indiana",2016,145496,2017.0,460,43582,756
Indiana,Morgan County,"Morgan County, Indiana",2016,69698,,344,60530,634
Indiana,Porter County,"Porter County, Indiana",2016,167791,,570,66196,746
Indiana,St. Joseph County,"St. Joseph County, Indiana",2016,269141,4710.0,2130,48358,606
Indiana,Tippecanoe County,"Tippecanoe County, Indiana",2016,188059,2232.0,868,51361,663
Indiana,Vanderburgh County,"Vanderburgh County, Indiana",2016,181721,1635.0,2669,46064,555
Indiana,Vigo County,"Vigo County, Indiana",2016,107931,,842,43910,545
Indiana,Wayne County,"Wayne County, Indiana",2016,66568,,1107,43401,471
Iowa,Black Hawk County,"Black Hawk County, Iowa",2016,132904,,1194,50470,629
Iowa,Dallas County,"Dallas County, Iowa",2016,84516,,498,75899,846
Iowa,Dubuque County,"Dubuque County, Iowa",2016,97003,1448.0,948,60456,635
Iowa,Johnson County,"Johnson County, Iowa",2016,146547,3955.0,1388,58064,772
Iowa,Linn County,"Linn County, Iowa",2016,221661,3939.0,1287,64639,589
Iowa,Polk County,"Polk County, Iowa",2016,474045,9259.0,4358,64067,744
Iowa,Pottawattamie County,"Pottawattamie County, Iowa",2016,93582,,551,55972,667
Iowa,Scott County,"Scott County, Iowa",2016,172474,3349.0,818,54730,652
Iowa,Story County,"Story County, Iowa",2016,97090,,565,53371,775
Iowa,Woodbury County,"Woodbury County, Iowa",2016,102779,,798,52324,588
Kansas,Butler County,"Butler County, Kansas",2016,67025,,270,60182,546
Kansas,Douglas County,"Douglas County, Kansas",2016,119440,1916.0,803,56345,714
Kansas,Johnson County,"Johnson County, Kansas",2016,584451,21585.0,1735,80553,877
Kansas,Leavenworth County,"Leavenworth County, Kansas",2016,80204,,349,68299,819
Kansas,Riley County,"Riley County, Kansas",2016,73343,,144,50737,814
Kansas,Sedgwick County,"Sedgwick County, Kansas",2016,511995,8354.0,4195,52193,600
Kansas,Shawnee County,"Shawnee County, Kansas",2016,178146,2287.0,1777,55710,585
Kansas,Wyandotte County,"Wyandotte County, Kansas",2016,163831,2343.0,1122,43129,586
Kentucky,Boone County,"Boone County, Kentucky",2016,128536,,629,72374,820
Kentucky,Bullitt County,"Bullitt County, Kentucky",2016,79151,,242,65359,563
Kentucky,Campbell County,"Campbell County, Kentucky",2016,92211,2582.0,1133,62536,706
Kentucky,Christian County,"Christian County, Kentucky",2016,72351,,484,41140,614
Kentucky,Daviess County,"Daviess County, Kentucky",2016,99674,,587,51764,525
Kentucky,Fayette County,"Fayette County, Kentucky",2016,318449,7738.0,1724,53178,689
Kentucky,Hardin County,"Hardin County, Kentucky",2016,107316,,685,52148,609
Kentucky,Jefferson County,"Jefferson County, Kentucky",2016,765352,16294.0,5868,51991,660
Kentucky,Kenton County,"Kenton County, Kentucky",2016,164945,3142.0,1293,62182,649
Kentucky,Madison County,"Madison County, Kentucky",2016,89547,,890,43840,565
Kentucky,McCracken County,"McCracken County, Kentucky",2016,65162,,1032,39048,517
Kentucky,Oldham County,"Oldham County, Kentucky",2016,65560,,24,90341,687
Kentucky,Warren County,"Warren County, Kentucky",2016,125532,,342,46686,559
Louisiana,Ascension Parish,"Ascension Parish, Louisiana",2016,121587,,711,76581,889
Louisiana,Bossier Parish,"Bossier Parish, Louisiana",2016,126057,,988,48163,820
Louisiana,Caddo Parish,"Caddo Parish, Louisiana",2016,248851,2538.0,3189,37104,587
Louisiana,Calcasieu Parish,"Calcasieu Parish, Louisiana",2016,200601,,1053,45962,650
Louisiana,East Baton Rouge Parish,"East Baton Rouge Parish, Louisiana",2016,447037,5483.0,1241,50508,720
Louisiana,Iberia Parish,"Iberia Parish, Louisiana",2016,73273,,370,41424,585
Louisiana,Jefferson Parish,"Jefferson Parish, Louisiana",2016,436523,7198.0,2029,49678,801
Louisiana,Lafayette Parish,"Lafayette Parish, Louisiana",2016,241398,3639.0,1378,49969,669
Louisiana,Lafourche Parish,"Lafourche Parish, Louisiana",2016,98305,,394,51772,671
Louisiana,Livingston Parish,"Livingston Parish, Louisiana",2016,140138,,541,56534,672
Louisiana,Orleans Parish,"Orleans Parish, Louisiana",2016,391495,10162.0,3273,38681,769
Louisiana,Ouachita Parish,"Ouachita Parish, Louisiana",2016,156983,,448,37275,526
Louisiana,Rapides Parish,"Rapides Parish, Louisiana",2016,132424,,503,42582,567
Louisiana,St. Landry Parish,"St. Landry Parish, Louisiana",2016,83883,,111,31207,449
Louisiana,St. Tammany Parish,"St. Tammany Parish, Louisiana",2016,253602,,557,64639,827
Louisiana,Tangipahoa Parish,"Tangipahoa Parish, Louisiana",2016,130710,,570,48162,616
Louisiana,Terrebonne Parish,"Terrebonne Parish, Louisiana",2016,113220,,423,46026,732
Maine,Androscoggin County,"Androscoggin County, Maine",2016,107319,,1526,49081,657
Maine,Aroostook County,"Aroostook County, Maine",2016,67959,,1329,39450,478
